Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%)
Skin/Body,North America,Tools,Aveda,Mascara,785187.37,19.85,1.45,12.34,895113.6018000001,0.011408105224784122
Skin/Body,North America,Tools,Aveda,Toner,1645882.95,15.22,10.2,9.34,1876306.563,0.023913280573117347
Skin/Body,North America,Tools,Aveda,Bronzer,2622092.85,11.18,1.98,14.01,2989185.8490000004,0.03809678082564432
Skin/Body,North America,Tools,Aveda,Hair Dye,4237787.34,19.48,-2.51,11.23,4831077.567600001,0.06157144872946441
Skin/Body,North America,Tools,Aveda,Face Make-Up,4722532.06,7.72,-3.67,11.38,5383686.5484,0.06861437756939023
Skin/Body,North America,Tools,Aveda,Tools,3085129.01,17.63,-2.2,12.13,3517047.0714000002,0.04482430273695572
Skin/Body,North America,Tools,Elizabeth Arden,Lipstick,1407322.94,7.45,-1.71,12.4,1604348.1516000002,0.020447206358875272
Skin/Body,North America,Tools,Elizabeth Arden,Mascara,3493387.49,12.85,2.18,13.28,3982461.7386000007,0.05075595150857368
Skin/Body,North America,Tools,Elizabeth Arden,Toner,2266002.98,17.25,3.78,6.28,2583243.3972000005,0.03292309762383773
Skin/Body,North America,Tools,Elizabeth Arden,Bronzer,2582059.04,9.52,9.95,8.04,2943547.3056000005,0.037515123587539466
Skin/Body,North America,Tools,Elizabeth Arden,Hair Dye,1544957.13,18.49,2.68,8.61,1761251.1282000002,0.022446914176447442
Skin/Body,North America,Tools,Elizabeth Arden,Face Make-Up,4579124.5,14.36,-2.66,14.16,5220201.930000001,0.06653078759199474
Skin/Body,North America,Tools,Elizabeth Arden,Tools,3324686.24,10.02,-2.21,12.12,3790142.3136000005,0.0483048657103487
Skin/Body,North America,Tools,Kilian,Lipstick,3290327.4,13.0,12.88,12.04,3750973.2360000005,0.04780566096368865
Skin/Body,North America,Tools,Kilian,Mascara,1182536.96,9.68,-0.03,11.42,1348092.1344,0.017181257095203063
Skin/Body,North America,Tools,Kilian,Toner,650895.96,13.55,10.25,13.27,742021.3944,0.009456965159878815
Skin/Body,North America,Tools,Kilian,Bronzer,2039367.87,17.32,-2.79,12.85,2324879.3718000003,0.02963028207267759
Skin/Body,North America,Tools,Kilian,Hair Dye,1073698.98,10.96,10.95,3.1,1224016.8372000002,0.01559993373757831
Skin/Body,North America,Tools,Kilian,Face Make-Up,1531631.28,15.83,9.4,9.98,1746059.6592,0.022253300900409022
Skin/Body,North America,Tools,Kilian,Tools,3622768.0,13.14,0.04,5.84,4129955.5200000005,0.05263574036981864
Skin/Body,North America,Tools,Frederic Malle,Lipstick,1317189.73,18.63,6.67,6.61,1501596.2922000003,0.01913764741382046
Skin/Body,North America,Tools,Frederic Malle,Mascara,2579026.12,19.21,-1.93,9.21,2940089.7768000006,0.03747105783734998
Skin/Body,North America,Tools,Frederic Malle,Toner,2776499.05,14.17,-4.64,13.21,3165208.9170000004,0.04034017169546824
Skin/Body,North America,Tools,Frederic Malle,Bronzer,4694532.27,13.48,8.93,13.91,5351766.7878,0.0682075644152359
Skin/Body,North America,Tools,Frederic Malle,Hair Dye,3682573.85,7.29,6.53,9.49,4198134.189,0.05350466854661503
Skin/Body,North America,Tools,Frederic Malle,Face Make-Up,2408588.02,16.05,13.69,13.96,2745790.3428,0.03499473708462025
Skin/Body,North America,Tools,Frederic Malle,Tools,2528777.17,6.7,14.7,12.74,2882805.9738000003,0.03674098329598935
Skin/Body,North America,Tools,Balmain,Lipstick,1060982.07,18.81,12.4,8.26,1209519.5598000002,0.01541516784225563
Skin/Body,North America,Tools,Balmain,Mascara,3160739.46,10.99,-3.9,5.69,3603242.9844000004,0.04592285832082009
Skin/Body,North America,Tools,Balmain,Toner,4112840.52,5.07,1.67,6.57,4688638.1928,0.05975607761611836
Skin/Body,North America,Tools,Balmain,Bronzer,2918280.21,18.8,1.93,5.86,3326839.4394000005,0.0424001314629973
Skin/Body,North America,Tools,Balmain,Hair Dye,3818755.62,11.78,-0.51,7.33,4353381.406800001,0.05548327393587053
Skin/Body,North America,Tools,Balmain,Face Make-Up,1133856.59,7.65,4.97,6.86,1292596.5126000002,0.016473972688244985
Skin/Body,North America,Tools,Balmain,Tools,4616806.55,10.44,6.61,9.85,5263159.467,0.06707827575585246
Skin/Body,Europe,Fragrance,Bobbi Brown,Lipstick,558925.05,14.95,-1.44,14.45,637174.5570000001,0.008120705995522734
Skin/Body,Europe,Fragrance,Bobbi Brown,Mascara,1168982.27,11.22,-3.29,14.96,1332639.7878000003,0.016984318968435528
Skin/Body,Europe,Fragrance,Bobbi Brown,Toner,2759877.55,13.93,-3.66,11.5,3146260.407,0.04009867542561134
Skin/Body,Europe,Fragrance,Bobbi Brown,Bronzer,1444575.17,18.47,-0.9,3.67,1646815.6938,0.020988449603399007
