Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%),Optimized Sales for Margin ($),Optimized Margin ($),Optimized Margin Contribution (%),Optimized Sales for Target ($),Optimized Margin for Target ($),Optimized Margin Contribution for Target (%),Optimized Sales for Margin Target ($),Achieved Margin ($)
Skin/Body,North America,Fragrance,Frederic Malle,Toner,4133480.7,18.44,1.36,2.54,4712167.998000001,0.06005596189125448,4712167.998000001,868923.7788312002,0.08922304105936942,4712167.998000001,868923.7788312002,0.0915709012726028,5373524.91,990877.9934040001
Skin/Body,North America,Fragrance,Frederic Malle,Bronzer,1525708.23,11.41,11.36,13.05,1739307.3822,0.022167244017385474,1739307.3822,198454.97230902003,0.020377801337858752,1510451.1476999999,172342.47595257,0.018162186643984665,1373137.4070000001,156674.9781387
Skin/Body,North America,Fragrance,Frederic Malle,Hair Dye,531284.59,12.66,3.35,4.11,605664.4326000001,0.007719113600905591,605664.4326000001,76677.11716716,0.007873378240979893,525971.7441,66588.02280306,0.0070173304156075506,478156.131,60534.56618459999
Skin/Body,North America,Fragrance,Frederic Malle,Face Make-Up,1039394.15,10.06,13.86,5.52,1184909.3310000002,0.015101513710319937,1184909.3310000002,119201.87869860003,0.012239916062356096,1029000.2085000001,103517.42097510002,0.010909108217588323,935454.735,94106.746341
Skin/Body,North America,Fragrance,Frederic Malle,Tools,2834557.8,15.55,2.27,14.6,3231395.892,0.041183715993970436,3231395.892,502482.061206,0.05159598421726344,3231395.892,502482.061206,0.05295370703267075,2551102.02,396696.36411
Skin/Body,North America,Fragrance,Balmain,Lipstick,4831012.83,8.78,4.94,5.21,5507354.626200001,0.0701905109692762,5507354.626200001,483545.73618036,0.049651559923168415,5507354.626200001,483545.73618036,0.05095811617460811,6280316.6790000005,551411.8044162
Skin/Body,North America,Fragrance,Balmain,Mascara,1781782.22,5.55,7.19,8.04,2031231.7308000003,0.025887781477444617,2031231.7308000003,112733.36105940002,0.011575714173794688,1763964.3978,97900.0240779,0.010317122925881333,2316316.886,128555.58717299999
Skin/Body,North America,Fragrance,Balmain,Toner,731654.38,9.18,13.17,4.35,834085.9932000001,0.010630316373038691,834085.9932000001,76569.09417576001,0.007862286198119699,724337.8362,66494.21336316,0.007007444375923984,658488.942,60449.2848756
Skin/Body,North America,Fragrance,Balmain,Bronzer,1152026.92,12.34,14.71,4.39,1313310.6888000001,0.01673797214178822,1313310.6888000001,162062.53899792,0.016640944722041105,1140506.6508,140738.52070872,0.014831626776753152,1036824.228,127944.10973519999
Skin/Body,North America,Fragrance,Balmain,Hair Dye,3524609.96,16.42,-0.25,11.2,4018055.3544000005,0.05120958746445725,4018055.3544000005,659764.6891924802,0.06774611696381978,4018055.3544000005,659764.6891924802,0.06952882253775969,4581992.948,752363.2420616001
Skin/Body,North America,Fragrance,Balmain,Face Make-Up,2155024.1,14.48,7.67,8.5,2456727.4740000004,0.031310668808574575,2456727.4740000004,355734.1382352001,0.03652757859230424,2456727.4740000004,355734.1382352001,0.0374887837635734,1939521.6900000002,280842.74071200006
Skin/Body,North America,Fragrance,Balmain,Tools,906303.97,17.53,1.42,3.61,1033186.5258000001,0.013167826496495469,1033186.5258000001,181117.59797274,0.01859756088414679,897240.9303,157286.33508159002,0.016575506174614358,815673.573,142987.5773469
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,683488.14,13.86,8.55,1.23,779176.4796000001,0.009930501838066983,779176.4796000001,107993.86007256001,0.011089051590203573,676653.2586000001,93784.14164196001,0.009883373645020281,615139.326,85258.3105836
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,2804418.76,8.4,7.9,3.44,3197037.3864,0.040745821355275505,3197037.3864,268551.1404576,0.02757543298425909,2776374.5724,233215.46408160002,0.02457724228169508,3645744.388,306242.528592
Skin/Body,North America,Hair Dye,Bobbi Brown,Toner,3609219.82,10.8,13.73,2.93,4114510.5948,0.05243889682781882,4114510.5948,444367.14423840004,0.045628614294740806,4114510.5948,444367.14423840004,0.04682930872092954,4691985.766,506734.462728
Skin/Body,North America,Hair Dye,Bobbi Brown,Bronzer,2034798.58,6.7,13.49,13.28,2319670.3812,0.029563894172013123,2319670.3812,155417.91554040002,0.015958659893362797,2014450.5942000002,134968.18981140002,0.014223524646530077,2645238.154,177230.956318
Skin/Body,North America,Hair Dye,Bobbi Brown,Hair Dye,1660737.32,14.9,11.34,8.77,1893240.5448000003,0.024129101945801777,1893240.5448000003,282092.8411752,0.028965925163866976,1893240.5448000003,282092.8411752,0.029728149163679825,1494663.588,222704.87461199999
Skin/Body,North America,Hair Dye,Bobbi Brown,Face Make-Up,2883427.6,8.63,-3.14,13.56,3287107.4640000006,0.04189375265784872,3287107.4640000006,283677.37414320005,0.02912862856030753,2854593.324,246351.4038612,0.025961563753825353,3748455.8800000004,323491.74244400003
Skin/Body,North America,Hair Dye,Bobbi Brown,Tools,4551881.26,14.5,1.78,5.89,5189144.6364,0.06613496646641544,5189144.6364,752425.972278,0.0772607851853224,5189144.6364,752425.972278,0.07929386454941945,5917445.638,858029.61751
Skin/Body,North America,Hair Dye,Aveda,Lipstick,3766800.55,18.46,12.74,11.92,4294152.627,0.05472841092079041,4294152.627,792700.5749442001,0.08139627165131567,4294152.627,792700.5749442001,0.08353817429716358,4896840.715,903956.795989
Skin/Body,North America,Hair Dye,Aveda,Mascara,3389142.41,6.26,-1.77,13.58,3863622.347400001,0.049241359084849334,3863622.347400001,241862.75894724007,0.024835010156252283,3355250.9859,210038.71171734002,0.02213477706866803,4405885.133,275808.4093258
Skin/Body,North America,Hair Dye,Aveda,Toner,3228930.77,5.14,-2.97,10.29,3680981.0778000006,0.04691362010535551,3680981.0778000006,189202.42739892,0.019427729289504918,3196641.4623,164307.37116221996,0.017315412962106754,4197610.001,215757.1540514
Skin/Body,North America,Hair Dye,Aveda,Bronzer,522777.13,7.41,5.97,10.69,595965.9282000001,0.007595507436843576,595965.9282000001,44161.07527962,0.004534558184377725,517549.3587,38350.40747967,0.004041529835687877,470499.417,34864.0067997
Skin/Body,North America,Hair Dye,Aveda,Hair Dye,3433825.67,8.36,9.24,4.32,3914561.2638000003,0.049890568880297755,3914561.2638000003,327257.32165368,0.03360351524291502,3914561.2638000003,327257.32165368,0.034487775132814126,4463973.371,373188.1738156
Skin/Body,North America,Hair Dye,Aveda,Face Make-Up,1964298.64,16.2,7.99,12.89,2239300.4496,0.028539589955478197,2239300.4496,362766.6728352,0.037249695006486436,2239300.4496,362766.6728352,0.03822990231417742,1767868.7759999998,286394.741712
Skin/Body,North America,Hair Dye,Aveda,Tools,3459258.02,13.52,-3.13,6.15,3943554.1428000005,0.05026007931309233,3943554.1428000005,533168.52010656,0.054746938592265294,3943554.1428000005,533168.52010656,0.056187577214205794,4497035.426,607999.1895951999
Skin/Body,North America,Hair Dye,Elizabeth Arden,Lipstick,1693410.65,8.66,14.46,6.5,1930488.141,0.024603817664527735,1930488.141,167180.2730106,0.017166445120428735,1676476.5435,145182.86866709997,0.015299991158109283,2201433.8449999997,190644.17097699997
Skin/Body,North America,Hair Dye,Elizabeth Arden,Mascara,4514209.5,14.47,10.9,8.04,5146198.830000001,0.06558762780751316,5146198.830000001,744654.9707010001,0.0764628413268752,5146198.830000001,744654.9707010001,0.07847492319284399,5868472.350000001,849167.949045
Skin/Body,North America,Hair Dye,Elizabeth Arden,Toner,3096067.48,12.39,-1.1,11.11,3529516.9272000003,0.0449832294104173,3529516.9272000003,437307.14728008007,0.04490367798405713,3529516.9272000003,437307.14728008007,0.04608529606964176,4024887.724,498683.5890036
Skin/Body,North America,Hair Dye,Elizabeth Arden,Bronzer,1763475.63,5.36,7.91,3.48,2010362.2182,0.0256218022818967,2010362.2182,107755.41489552,0.011064567505017105,1745840.8736999999,93577.07083032,0.00986155163794547,2292518.319,122878.98189840002
Skin/Body,North America,Hair Dye,Elizabeth Arden,Hair Dye,4732063.63,19.31,13.3,6.18,5394552.5382,0.06875286318145174,5394552.5382,1041688.09512642,0.10696286825933002,5394552.5382,1041688.09512642,0.10977754325468575,6151682.7190000005,1187889.9330389001
Skin/Body,North America,Hair Dye,Elizabeth Arden,Face Make-Up,569554.77,18.92,3.56,14.53,649292.4378000001,0.008275146793863635,649292.4378000001,122846.12923176002,0.012614115874666593,563859.2223,106682.16485916001,0.01124262245303731,512599.293,96983.78623560001
Skin/Body,North America,Hair Dye,Elizabeth Arden,Tools,4836289.9,17.8,0.89,6.39,5513370.486000001,0.07026718231186103,5513370.486000001,981379.9465080004,0.10077029239538751,5513370.486000001,981379.9465080004,0.10342201281851894,6287176.870000001,1119117.4828600003
Skin/Body,North America,Hair Dye,Kilian,Lipstick,4330115.02,9.75,-1.61,8.8,4936331.1228,0.06291289145873322,4936331.1228,481292.28447300004,0.04942017045137661,4936331.1228,481292.28447300004,0.05072063780326602,5629149.526,548842.078785
Skin/Body,North America,Hair Dye,Kilian,Mascara,4712696.48,15.44,6.4,2.36,5372473.987200001,0.06847147495038,5372473.987200001,829509.9836236801,0.08517594423249193,5372473.987200001,829509.9836236801,0.08741730709362759,6126505.424000001,945932.4374656
Skin/Body,North America,Hair Dye,Kilian,Toner,3267532.52,19.85,-2.2,8.26,3724987.0728,0.04747447072864153,3724987.0728,739409.9339508001,0.07592426919808563,3724987.0728,739409.9339508001,0.07792217880475764,2940779.268,583744.6846980001
Skin/Body,North America,Hair Dye,Kilian,Bronzer,4448178.82,16.11,8.94,10.83,5070923.854800001,0.06462825814074935,5070923.854800001,816925.8330082801,0.08388377544345797,5070923.854800001,816925.8330082801,0.08609113552176385,5782632.466000001,931582.0902726001
Skin/Body,North America,Hair Dye,Kilian,Hair Dye,2117710.18,9.4,11.19,12.34,2414189.6052000006,0.030768529260775713,2414189.6052000006,226933.82288880006,0.023302073542747943,2096533.0782,197074.10935080002,0.020768511865358854,2753023.234,258784.183996
Skin/Body,North America,Hair Dye,Kilian,Face Make-Up,4401825.43,18.7,5.23,8.02,5018080.9902,0.06395478277569672,5018080.9902,938381.1451674,0.09635507910397943,5018080.9902,938381.1451674,0.09889061537224735,5722373.058999999,1070083.762033
Skin/Body,North America,Hair Dye,Kilian,Tools,4092328.31,14.75,9.04,12.14,4665254.2734,0.05945805263633185,4665254.2734,688125.0053265,0.0706582177861566,4665254.2734,688125.0053265,0.07251755385348149,5320026.803,784703.9534425
Skin/Body,North America,Hair Dye,Frederic Malle,Lipstick,4505024.04,10.07,2.51,2.32,5135727.4056,0.06545417087962338,5135727.4056,517167.74974392,0.05310394363018968,5135727.4056,517167.74974392,0.054501347652006725,5856531.252,589752.6970764
Skin/Body,North America,Hair Dye,Frederic Malle,Mascara,3102260.63,5.54,4.31,8.6,3536577.1182000004,0.04507321061690674,3536577.1182000004,195926.37234828,0.02011815902674224,3071238.0237,170146.58651298,0.01793077443042006,4032938.819,223424.8105726
Skin/Body,North America,Hair Dye,Frederic Malle,Toner,1789435.63,13.86,-4.39,1.52,2039956.6182000001,0.025998979020788206,2039956.6182000001,282737.98728252004,0.029032170212080682,1771541.2736999998,245535.62053481996,0.025875593020534722,1610492.067,223214.20048620002
Skin/Body,North America,Hair Dye,Frederic Malle,Bronzer,4201702.52,10.4,-2.46,8.31,4789940.8728,0.061047166960162144,4789940.8728,498153.8507712,0.051151553869348235,4789940.8728,498153.8507712,0.05249758171987838,5462213.276,568070.180704
Skin/Body,North America,Hair Dye,Frederic Malle,Hair Dye,3964970.99,8.24,7.46,2.19,4520066.928600001,0.05760765900645661,4520066.928600001,372453.5149166401,0.03824436166174879,4520066.928600001,372453.5149166401,0.039250743130705666,5154462.2870000005,424727.6924488
Skin/Body,North America,Hair Dye,Frederic Malle,Face Make-Up,732567.75,12.97,5.81,9.92,835127.2350000001,0.01064358686294629,835127.2350000001,108316.00237950002,0.011122129884271817,725242.0725,94063.89680325001,0.009912855439487278,659310.975,85512.63345750001
Skin/Body,North America,Hair Dye,Frederic Malle,Tools,3767411.0,19.64,5.33,5.52,4294848.54,0.054737280240522934,4294848.54,843508.2532560001,0.08661331793153447,4294848.54,843508.2532560001,0.08889250457091685,3390669.9,665927.56836
Skin/Body,North America,Hair Dye,Balmain,Lipstick,4078337.88,9.06,3.78,2.1,4649305.183200001,0.05925478357766122,4649305.183200001,421227.0495979201,0.04325253751502326,4649305.183200001,421227.0495979201,0.04439070665549601,5301839.244,480346.6355064
Skin/Body,North America,Hair Dye,Balmain,Mascara,614078.35,19.44,11.72,10.74,700049.319,0.00892203657460997,700049.319,136089.58761360002,0.013973983862812081,607937.5665,118183.0629276,0.012454636242081022,552670.515,107439.14811600001
Skin/Body,North America,Hair Dye,Balmain,Toner,2340288.25,7.6,-1.87,4.5,2667928.6050000004,0.034002399468455395,2667928.6050000004,202762.57398000002,0.02082011553171616,2316885.3675,176083.28793000002,0.018556409397015295,3042374.725,231220.4791
Skin/Body,North America,Hair Dye,Balmain,Bronzer,2971519.99,15.72,8.2,4.92,3387532.7886000006,0.04317366022261599,3387532.7886000006,532520.1543679201,0.05468036294509177,3387532.7886000006,532520.1543679201,0.05611924966179218,3862975.987,607259.8251564001
Skin/Body,North America,Hair Dye,Balmain,Hair Dye,4796893.76,16.07,6.09,9.56,5468458.8864,0.06969478987695682,5468458.8864,878781.3430444801,0.09023523784575486,5468458.8864,878781.3430444801,0.09260973351698765,6235961.888,1002119.0754016001
Skin/Body,North America,Hair Dye,Balmain,Face Make-Up,2388200.28,8.72,2.12,11.61,2722548.3192000003,0.0346985205481577,2722548.3192000003,237406.21343424002,0.0243774020748804,2364318.2772,206168.55377184,0.021726923284745278,3104660.364,270726.3837408
Skin/Body,North America,Hair Dye,Balmain,Tools,564770.7,6.74,-4.08,1.57,643838.598,0.008205638322321697,643838.598,43394.7215052,0.004455867261253199,559122.9929999999,37684.889728199996,0.003971394730860847,508293.62999999995,34258.990662
Skin/Body,North America,Face Make-Up,Bobbi Brown,Lipstick,4349572.63,15.55,4.48,2.37,4958512.7982,0.06319559399673101,4958512.7982,771048.7401201,0.07917301272506104,4958512.7982,771048.7401201,0.08125641141145304,5654444.419,879266.1071545
Skin/Body,North America,Face Make-Up,Bobbi Brown,Mascara,2712271.44,12.1,-1.54,7.07,3091989.4416000005,0.03940699910353468,3091989.4416000005,374130.72243360005,0.03841658108858056,3091989.4416000005,374130.72243360005,0.039427494426608506,3525952.872,426640.29751199996
Skin/Body,North America,Face Make-Up,Bobbi Brown,Toner,2293271.3,14.24,7.7,1.63,2614329.282,0.033319283140503746,2614329.282,372280.4897568,0.03822659505054903,2614329.282,372280.4897568,0.03923250899991607,2063944.17,293905.64980799996
Skin/Body,North America,Face Make-Up,Bobbi Brown,Bronzer,2185756.77,14.39,5.06,12.99,2491762.7178,0.03175718838669586,2491762.7178,358564.65509142005,0.03681822240691069,2491762.7178,358564.65509142005,0.037787075726465696,1967181.093,283077.3592827
Skin/Body,North America,Face Make-Up,Bobbi Brown,Hair Dye,3464121.34,7.44,-3.59,9.99,3949098.3276000004,0.0503307392197867,3949098.3276000004,293812.9155734401,0.030169368670338422,3429480.1265999996,255153.32141904,0.026889147442215964,4503357.742,335049.8160048
Skin/Body,North America,Face Make-Up,Bobbi Brown,Face Make-Up,619300.9,13.79,13.8,9.06,706003.0260000001,0.008997915787926528,706003.0260000001,97357.8172854,0.009996918879110694,613107.8910000001,84547.5781689,0.008909985112567638,557370.81,76861.434699
Skin/Body,North America,Face Make-Up,Bobbi Brown,Tools,2246764.67,14.65,4.17,8.64,2561311.7238000003,0.03264358132847625,2561311.7238000003,375232.1675367,0.038529679940347186,2561311.7238000003,375232.1675367,0.03954356941874283,2022088.203,296235.92173949996
Skin/Body,North America,Face Make-Up,Aveda,Lipstick,4736591.64,10.79,14.22,13.67,5399714.4696,0.06881865131879641,5399714.4696,582629.19126984,0.059825671159535264,5399714.4696,582629.19126984,0.06139995411803689,6157569.132,664401.7093428
Skin/Body,North America,Face Make-Up,Aveda,Mascara,1381060.11,6.04,-2.98,1.26,1574408.5254000004,0.020065629757432212,1574408.5254000004,95094.27493416003,0.009764493277389947,1367249.5089,82581.87033756,0.008702830420591617,1795378.1430000002,108440.83983720001
Skin/Body,North America,Face Make-Up,Aveda,Toner,924993.32,15.25,-3.58,5.47,1054492.3848,0.013439366869569503,1054492.3848,160810.088682,0.01651234031658628,915743.3868,139650.866487,0.014717005126635782,832493.988,126955.33317
Skin/Body,North America,Face Make-Up,Aveda,Bronzer,4301938.9,5.35,11.29,4.95,4904210.346000001,0.06250351637952616,4904210.346000001,262375.253511,0.02694127907106349,4258919.511,227852.19383849998,0.024012037942840625,5592520.57,299199.850495
Skin/Body,North America,Face Make-Up,Aveda,Hair Dye,1031741.72,15.45,7.58,13.28,1176185.5608,0.014990330405543529,1176185.5608,181720.6691436,0.018659485583585607,1021424.3028,157810.0547826,0.016630697994891402,928567.548,143463.686166
Skin/Body,North America,Face Make-Up,Aveda,Face Make-Up,3807819.7,17.05,0.64,3.48,4340914.458000001,0.055324384311741935,4340914.458000001,740125.9150890001,0.07599778774602695,4340914.458000001,740125.9150890001,0.07799763195694016,4950165.61,844003.2365050002
Skin/Body,North America,Face Make-Up,Aveda,Tools,3877766.38,17.1,14.81,6.78,4420653.6732,0.056340650130643606,4420653.6732,755931.7781172001,0.07762076918617214,4420653.6732,755931.7781172001,0.07966332135127396,5041096.294,862027.466274
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Lipstick,2174081.39,16.65,1.82,14.03,2478452.7846000004,0.03158755503716893,2478452.7846000004,412662.3886359,0.04237309893215724,2478452.7846000004,412662.3886359,0.043488126081119974,1956673.2510000002,325786.09629149997
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Mascara,4362857.38,11.43,10.02,11.56,4973657.4132,0.06338861012469668,4973657.4132,568489.04232876,0.05837372897508659,4973657.4132,568489.04232876,0.05990980479285071,5671714.5940000005,648276.9780942
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Toner,964057.41,18.54,5.11,12.57,1099025.4474000002,0.01400693490015364,1099025.4474000002,203759.31794796002,0.020922463436268388,954416.8359000001,176948.88137586,0.018647629333566774,867651.669,160862.61943259998
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Bronzer,1940223.2,18.43,2.78,1.15,2211854.4480000003,0.028189794271865794,2211854.4480000003,407644.77476640005,0.04185787909446257,2211854.4480000003,407644.77476640005,0.042959348488123196,1746200.88,321824.822184
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Hair Dye,4574218.89,6.37,1.39,14.3,5214609.5346,0.06645951324753889,5214609.5346,332170.62735402,0.03410802448402284,5214609.5346,332170.62735402,0.035005560285170226,5946484.557,378791.06628090004
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Face Make-Up,4777732.16,13.6,7.64,7.28,5446614.662400001,0.06941638811270631,5446614.662400001,740739.5940864001,0.07606080168086936,5446614.662400001,740739.5940864001,0.0780623040723236,6211051.808,844703.045888
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Tools,1819448.47,9.93,8.45,11.53,2074171.2558000002,0.02643504008072936,2074171.2558000002,205965.20570094002,0.02114896893462318,1801253.9853,178864.52074029,0.01884950759652568,1637503.623,162604.1097639
Skin/Body,North America,Face Make-Up,Kilian,Lipstick,4062105.7,16.84,-3.18,7.92,4630800.498000001,0.05901894379655567,4630800.498000001,779826.8038632001,0.08007436398377085,4630800.498000001,779826.8038632001,0.08218148128290398,5280737.41,889276.179844
Skin/Body,North America,Face Make-Up,Kilian,Mascara,759014.42,13.24,3.83,13.43,865276.4388000001,0.011027834503359995,865276.4388000001,114562.60049712,0.01176354457898701,751424.2758000001,99488.57411592,0.010484531117764153,683112.978,90444.1582872
