Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%),Optimized Sales for Margin ($),Optimized Margin ($),Optimized Margin Contribution (%),Optimized Sales for Target ($),Optimized Margin for Target ($),Optimized Margin Contribution for Target (%),Optimized Sales for Margin Target ($),Achieved Margin ($),Sales (Year 1),Margin (Year 1),Sales (Year 2),Margin (Year 2),Sales (Year 3),Margin (Year 3),Sales (Year 4),Margin (Year 4),Sales (Year 5),Margin (Year 5)
Skin/Body,North America,Fragrance,Aveda,Bronzer,1049172.06,12.43,-4.31,13.73,1196056.1484000003,0.015243578433238838,1196056.1484000003,148669.77924612002,0.015265746134610972,1038680.3394,129107.96618742,0.013605949236603245,944254.854,117370.8783522,1003952.7442140001,124791.3261058002,960682.3809383765,119412.8199506402,919276.9703199326,114266.12741076761,879656.1328991434,109341.25731936352,841742.9535711904,104628.64912889896
Skin/Body,North America,Fragrance,Aveda,Hair Dye,1664509.92,14.94,1.23,8.28,1897541.3088000002,0.02418391461780263,1897541.3088000002,283492.67153472005,0.0291096628825097,1647864.8207999999,246191.00422752,0.025944660154939344,1498058.928,223810.00384320001,1684983.3920159999,251736.5187671904,1705708.6877377967,254832.87794802684,1726688.9045969713,257967.32234678752,1747927.1781235144,261140.32041165305,1769426.6824144335,264352.3463527164
Skin/Body,North America,Fragrance,Aveda,Face Make-Up,2960196.26,7.77,14.39,11.85,3374623.7364000003,0.04300913604875282,3374623.7364000003,262208.26431828,0.02692413224649555,2930594.2973999996,227707.17690797994,0.02399675543895361,3848255.138,299009.42422259995,3386168.5018139994,263105.2925909477,3873438.1492250343,300966.14419478516,4430825.898898516,344275.17234441463,5068421.745750012,393816.36964477587,5797767.634963438,450486.54523665906
Skin/Body,North America,Fragrance,Aveda,Tools,4727745.24,18.42,6.96,13.91,5389629.573600001,0.06869012064456954,5389629.573600001,992769.7674571202,0.1019398247375328,5389629.573600001,992769.7674571202,0.10462232082602613,6146068.812000001,1132105.8751704004,5056796.308704,931461.880063277,5408749.331789797,996291.6269156808,5785198.285282367,1065633.524149012,6187848.085938019,1139801.6174297833,6618522.312719304,1219131.810002896
Skin/Body,North America,Fragrance,Elizabeth Arden,Lipstick,898216.26,7.94,-4.1,5.55,1023966.5364000001,0.013050318943225045,1023966.5364000001,81302.94299016001,0.008348368403976916,889234.0974,70605.18733356,0.007440676381709462,808394.6340000001,64186.533939600005,861389.39334,68394.317831196,826072.42821306,65590.15080011697,792203.4586563244,62900.954617312156,759723.1168514151,60322.01547800236,728574.469060507,57848.81284340426
Skin/Body,North America,Fragrance,Elizabeth Arden,Mascara,2249047.8,9.07,11.57,5.99,2563914.492,0.03267675326714595,2563914.492,232547.04442440002,0.02387845171048533,2226557.3219999997,201948.74910539997,0.02128222223510889,2923762.1399999997,265185.22609799996,2509262.6304599997,227590.12058272198,2799584.3168042214,253922.29753414288,3123496.2222584696,283301.1073588432,3484884.7351737744,316079.0454802613,3888085.8990333797,352649.39104232757
Skin/Body,North America,Fragrance,Elizabeth Arden,Toner,1764205.29,13.14,-2.18,12.23,2011194.0306000002,0.02563240362162319,2011194.0306000002,264270.8956208401,0.02713592785145207,1746563.2371,229498.40935494003,0.024185523169280312,1587784.7610000002,208634.91759540004,1725745.6146779999,226762.9737686892,1688124.3602780194,221819.5409405318,1651323.2492239587,216983.8749480282,1615324.402390876,212253.62647416114,1580110.330418755,207626.49741702445
Skin/Body,North America,Fragrance,Elizabeth Arden,Bronzer,835477.9,19.8,10.44,3.78,952444.8060000001,0.012138783888209596,952444.8060000001,188584.07158800002,0.019364235128968506,827123.121,163770.37795800003,0.017258822323335393,751930.11,148882.16178,922701.7927600001,182694.95496648003,1019031.8599241441,201768.30826498053,1125418.7861002248,222832.91964784454,1242912.5073690885,246096.67645907952,1372672.5731384212,271789.1694814074
Skin/Body,North America,Fragrance,Elizabeth Arden,Hair Dye,524849.53,17.23,9.14,11.21,598328.4642,0.007625617647694067,598328.4642,103091.99438166001,0.010585717034904622,519601.0347,89527.25827881001,0.009434765083863941,472364.57700000005,81388.41661710001,572820.777042,98697.0198843366,625176.5960636388,107717.92750176498,682317.7369438553,117563.34607542628,744681.5781005236,128308.63590672021,812745.4743389115,140036.04522859445
Skin/Body,North America,Fragrance,Elizabeth Arden,Face Make-Up,3970716.56,6.11,2.17,2.62,4526616.878400001,0.05769113725590471,4526616.878400001,276576.29127024004,0.028399473455826055,3931009.3944,240184.67399784,0.025311687406498168,5161931.528,315394.0163608,4056881.109352,247875.4357814072,4144915.429424939,253254.3327378638,4234860.09424346,258749.95175827542,4326756.5582885435,264364.82571143,4420647.175603405,270101.542429368
Skin/Body,North America,Fragrance,Elizabeth Arden,Tools,4383965.42,14.35,1.62,1.89,4997720.5788,0.06369529200803997,4997720.5788,717172.9030578,0.07364092102792347,4997720.5788,717172.9030578,0.07557874545639452,5699155.046,817828.7491009999,4454985.659804,639290.4421818738,4527156.427492824,649646.9473452203,4600496.361618209,660171.2278922129,4675024.402676424,670866.0017840668,4750759.797999782,681734.0310129686
Skin/Body,North America,Fragrance,Kilian,Lipstick,1899420.45,9.88,9.59,9.93,2165339.313,0.027596964989015052,2165339.313,213935.52412440005,0.021967379093577724,1880426.2455,185786.11305540003,0.019578934575021655,2469246.585,243961.56259800002,2081574.871155,205659.59727011403,2281197.9012987646,225382.352648318,2499964.7800333165,246996.5202672917,2739711.4024385116,270683.48656092497,3002449.7259323657,296642.0329221178
Skin/Body,North America,Fragrance,Kilian,Mascara,4492457.34,12.08,-2.61,10.99,5121401.3676,0.06527158740795051,5121401.3676,618665.2852060801,0.0635259380497075,5121401.3676,618665.2852060801,0.06519759170199663,5840194.542,705495.5006736001,4375204.203426,528524.6677738607,4261011.373716581,514730.17394496297,4149798.9768625787,501295.71640499955,4041489.2235664646,488211.8982068289,3936006.3548313803,475469.56766363076
Skin/Body,North America,Fragrance,Kilian,Toner,3923532.72,13.42,10.42,7.91,4472827.3008,0.05700559615807811,4472827.3008,600253.4237673599,0.06163536685215547,4472827.3008,600253.4237673599,0.06325727105808729,5100592.536,684499.5183312,4332364.829424,581403.3601087008,4783797.244649981,641985.5902320273,5282268.917542511,708880.4887342049,5832681.338750441,782745.8356603091,6440446.734248237,864307.9517361133
Skin/Body,North America,Fragrance,Kilian,Bronzer,2852297.73,11.41,-4.49,2.51,3251619.4122,0.04144146210127258,3251619.4122,371009.77493202005,0.03809611520438969,3251619.4122,371009.77493202005,0.03909859564111483,3707987.049,423081.32229090005,2724229.561923,310834.5930154143,2601911.654592657,296878.1197890222,2485085.8213014463,283548.29221049504,2373505.4679250116,270816.97389024385,2266935.0724151786,258657.2917625719
Skin/Body,North America,Fragrance,Kilian,Hair Dye,641431.34,14.55,1.29,8.12,731231.7276000001,0.009319452274422449,731231.7276000001,106394.21636580002,0.010924796589240669,635017.0266,92394.97737030001,0.009736977577297619,577288.206,83995.433973,649705.8042859999,94532.194523613,658087.0091612893,95751.6598329676,666576.3315794698,96986.85624481288,675175.166256845,98237.98669037096,683884.9259015581,99505.25671867673
Skin/Body,North America,Fragrance,Kilian,Face Make-Up,4584049.13,8.74,3.21,11.58,5225816.0082,0.06660233828088714,5225816.0082,456736.31911668,0.04689870889327945,5225816.0082,456736.31911668,0.04813282523088866,5959263.869,520839.66215060005,4731197.107073,413506.6271581802,4883068.534210044,426780.1898899579,5039815.034158186,440479.8339854255,5201593.096754664,454619.23665635765,5368564.235160489,469212.51415302674
Skin/Body,North America,Fragrance,Kilian,Tools,1529591.74,6.15,0.8,3.26,1743734.5836000002,0.022223668117433724,1743734.5836000002,107239.67689140003,0.011011610370871956,1514295.8226,93129.19308990001,0.009814352367595935,1988469.262,122290.85961300002,1541828.47392,94822.45114608001,1554163.10171136,95581.03075524865,1566596.4065250508,96345.67900129063,1579129.1777772512,97116.44443330096,1591762.2111994694,97893.37598876738
Skin/Body,North America,Fragrance,Frederic Malle,Lipstick,4683639.44,17.12,7.67,13.2,5339348.961600001,0.06804930085218892,5339348.961600001,914096.5422259202,0.09386148164682082,5339348.961600001,914096.5422259202,0.0963314001308486,6088731.272000001,1042390.7937664003,5042874.585048,863340.1289602177,5429663.065721182,929558.3168514665,5846118.222861997,1000855.439753974,6294515.490555512,1077621.0519831036,6777304.82868112,1160274.5866702078
Skin/Body,North America,Fragrance,Frederic Malle,Mascara,4116524.35,7.8,12.85,8.55,4692837.759000001,0.05980960053545699,4692837.759000001,366041.34520200005,0.037585945704369274,4692837.759000001,366041.34520200005,0.03857500128293131,5351481.655,417415.56909,4645497.728975001,362348.8228600501,5242444.187148289,408910.64659756655,5916098.265196843,461455.66468535375,6676316.892274639,520752.71759742184,7534223.6129319295,587669.4418086905
Skin/Body,North America,Fragrance,Frederic Malle,Toner,4133480.7,18.44,1.36,2.54,4712167.998000001,0.06005596189125448,4712167.998000001,868923.7788312002,0.08922304105936942,4712167.998000001,868923.7788312002,0.0915709012726028,5373524.91,990877.9934040001,4189696.0375200002,772579.9493186881,4246675.9036302725,783087.0366294223,4304430.695919645,793737.0203275826,4362970.953384152,804531.8438040377,4422307.358350176,815473.4768797726
Skin/Body,North America,Fragrance,Frederic Malle,Bronzer,1525708.23,11.41,11.36,13.05,1739307.3822,0.022167244017385474,1739307.3822,198454.97230902003,0.020377801337858752,1510451.1476999999,172342.47595257,0.018162186643984665,1373137.4070000001,156674.9781387,1699028.684928,193859.17295028482,1892038.3435358205,215881.57499743713,2106973.89936149,240405.721917146,2346326.134328955,267715.81192693376,2612868.783188724,298128.3281618334
Skin/Body,North America,Fragrance,Frederic Malle,Hair Dye,531284.59,12.66,3.35,4.11,605664.4326000001,0.007719113600905591,605664.4326000001,76677.11716716,0.007873378240979893,525971.7441,66588.02280306,0.0070173304156075506,478156.131,60534.56618459999,549082.623765,69513.860168649,567476.8916611276,71842.57448429875,586487.3675317754,74249.30072952276,606134.69434409,76736.65230396178,626440.2066046171,79307.33015614451
Skin/Body,North America,Fragrance,Frederic Malle,Face Make-Up,1039394.15,10.06,13.86,5.52,1184909.3310000002,0.015101513710319937,1184909.3310000002,119201.87869860003,0.012239916062356096,1029000.2085000001,103517.42097510002,0.010909108217588323,935454.735,94106.746341,1183454.17919,119055.49042651402,1347480.9284257342,135556.58139962886,1534241.7851055409,154344.72358161744,1746887.696521169,175736.90227002962,1989006.3312590031,200094.03692465572
Skin/Body,North America,Fragrance,Frederic Malle,Tools,2834557.8,15.55,2.27,14.6,3231395.892,0.041183715993970436,3231395.892,502482.061206,0.05159598421726344,3231395.892,502482.061206,0.05295370703267075,2551102.02,396696.36411,2898902.2620599996,450779.30175032996,2964707.3434087615,461011.9919000624,3032006.20010414,471476.9641161938,3100832.740846504,482179.4912016314,3171221.6440637195,493124.96565190837
Skin/Body,North America,Fragrance,Balmain,Lipstick,4831012.83,8.78,4.94,5.21,5507354.626200001,0.0701905109692762,5507354.626200001,483545.73618036,0.049651559923168415,5507354.626200001,483545.73618036,0.05095811617460811,6280316.6790000005,551411.8044162,5069664.863802001,445116.57504181564,5320106.308073821,467105.33384888136,5582919.559692667,490180.3373410161,5858715.785941486,514395.2460056624,6148136.345766996,539806.3711583422
Skin/Body,North America,Fragrance,Balmain,Mascara,1781782.22,5.55,7.19,8.04,2031231.7308000003,0.025887781477444617,2031231.7308000003,112733.36105940002,0.011575714173794688,1763964.3978,97900.0240779,0.010317122925881333,2316316.886,128555.58717299999,1909892.361618,105999.026069799,2047213.6224183345,113620.35604421757,2194408.281870213,121789.65964379681,2352186.237336681,130546.33617218581,2521308.4278011885,139932.61774296596
Skin/Body,North America,Fragrance,Balmain,Toner,731654.38,9.18,13.17,4.35,834085.9932000001,0.010630316373038691,834085.9932000001,76569.09417576001,0.007862286198119699,724337.8362,66494.21336316,0.007007444375923984,658488.942,60449.2848756,828013.261846,76011.61743746279,937062.6084311181,86022.34745397663,1060473.7539614963,97351.49061366534,1200138.1473582252,110172.68192748506,1358196.3413653036,124682.42413733486
Skin/Body,North America,Fragrance,Balmain,Bronzer,1152026.92,12.34,14.71,4.39,1313310.6888000001,0.01673797214178822,1313310.6888000001,162062.53899792,0.016640944722041105,1140506.6508,140738.52070872,0.014831626776753152,1036824.228,127944.10973519999,1321490.079932,163071.8758636088,1515881.2706899971,187059.74880314563,1738867.4056084957,214576.23785208835,1994654.8009735055,246140.40244013057,2288068.5221967082,282347.6556390738
Skin/Body,North America,Fragrance,Balmain,Hair Dye,3524609.96,16.42,-0.25,11.2,4018055.3544000005,0.05120958746445725,4018055.3544000005,659764.6891924802,0.06774611696381978,4018055.3544000005,659764.6891924802,0.06952882253775969,4581992.948,752363.2420616001,3515798.4351000004,577294.1030434201,3507008.9390122504,575850.8677858115,3498241.41666472,574411.2406163471,3489495.813123058,572975.2125148062,3480772.073590251,571542.7744835193
Skin/Body,North America,Fragrance,Balmain,Face Make-Up,2155024.1,14.48,7.67,8.5,2456727.4740000004,0.031310668808574575,2456727.4740000004,355734.1382352001,0.03652757859230424,2456727.4740000004,355734.1382352001,0.0374887837635734,1939521.6900000002,280842.74071200006,2320314.44847,335981.53213845607,2498282.5666676494,361751.31565347564,2689900.839531058,389497.64156409726,2896216.2339230897,419372.1106720634,3118356.019064991,451537.95156061073
Skin/Body,North America,Fragrance,Balmain,Tools,906303.97,17.53,1.42,3.61,1033186.5258000001,0.013167826496495469,1033186.5258000001,181117.59797274,0.01859756088414679,897240.9303,157286.33508159002,0.016575506174614358,815673.573,142987.5773469,919173.486374,161131.1121613622,932225.7498805107,163419.17395405355,945463.355528814,165739.72622420112,958888.9351773232,168093.23033658476,972505.1580568412,170480.15420736428
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,683488.14,13.86,8.55,1.23,779176.4796000001,0.009930501838066983,779176.4796000001,107993.86007256001,0.011089051590203573,676653.2586000001,93784.14164196001,0.009883373645020281,615139.326,85258.3105836,741926.3759699999,102830.995709442,805361.0811154349,111623.04584259927,874219.4535508045,121166.81626214151,948965.2168293982,131526.5790525546,1030101.7428683117,142772.101561548
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,2804418.76,8.4,7.9,3.44,3197037.3864,0.040745821355275505,3197037.3864,268551.1404576,0.02757543298425909,2776374.5724,233215.46408160002,0.02457724228169508,3645744.388,306242.528592,3025967.8420399996,254181.29873135997,3265019.3015611595,274261.62133113743,3522955.8263844913,295928.2894162973,3801269.3366688658,319306.62428018474,4101569.614265706,344531.8475983193
Skin/Body,North America,Hair Dye,Bobbi Brown,Toner,3609219.82,10.8,13.73,2.93,4114510.5948,0.05243889682781882,4114510.5948,444367.14423840004,0.045628614294740806,4114510.5948,444367.14423840004,0.04682930872092954,4691985.766,506734.462728,4104765.7012859997,443314.695738888,4668350.032072567,504181.80346383736,5309314.491476131,573405.9650794222,6038283.371155803,652134.6040848268,6867339.678015495,741672.6852256735
Skin/Body,North America,Hair Dye,Bobbi Brown,Bronzer,2034798.58,6.7,13.49,13.28,2319670.3812,0.029563894172013123,2319670.3812,155417.91554040002,0.015958659893362797,2014450.5942000002,134968.18981140002,0.014223524646530077,2645238.154,177230.956318,2309292.908442,154722.624865614,2620816.521790826,175594.70695998537,2974364.6705804085,199282.43292888737,3375606.4646417056,226165.63313099428,3830975.776721872,256675.37704036542
Skin/Body,North America,Hair Dye,Bobbi Brown,Hair Dye,1660737.32,14.9,11.34,8.77,1893240.5448000003,0.024129101945801777,1893240.5448000003,282092.8411752,0.028965925163866976,1893240.5448000003,282092.8411752,0.029728149163679825,1494663.588,222704.87461199999,1849064.932088,275510.674881112,2058748.895386779,306753.58541263005,2292211.0201236396,341539.44199842226,2552147.7498056605,380270.0147210434,2841561.304633622,423392.6343904097
Skin/Body,North America,Hair Dye,Bobbi Brown,Face Make-Up,2883427.6,8.63,-3.14,13.56,3287107.4640000006,0.04189375265784872,3287107.4640000006,283677.37414320005,0.02912862856030753,2854593.324,246351.4038612,0.025961563753825353,3748455.8800000004,323491.74244400003,2792887.97336,241026.23210096802,2705191.290996496,233458.00841299762,2620248.2844592063,226127.4269488295,2537972.4883271875,219027.0257426363,2458280.1521937135,212149.5771343175
Skin/Body,North America,Hair Dye,Bobbi Brown,Tools,4551881.26,14.5,1.78,5.89,5189144.6364,0.06613496646641544,5189144.6364,752425.972278,0.0772607851853224,5189144.6364,752425.972278,0.07929386454941945,5917445.638,858029.61751,4632904.746428,671771.1882320599,4715370.450914418,683728.7153825907,4799304.044940695,695899.0865164008,4884731.65694064,708286.0902563927,4971679.880434183,720893.5826629566
Skin/Body,North America,Hair Dye,Aveda,Lipstick,3766800.55,18.46,12.74,11.92,4294152.627,0.05472841092079041,4294152.627,792700.5749442001,0.08139627165131567,4294152.627,792700.5749442001,0.08353817429716358,4896840.715,903956.795989,4246690.94007,783939.147536922,4787719.365834918,883812.9949331259,5397674.813042286,996410.7704876061,6085338.584223873,1123353.502647727,6860610.7198539935,1266468.7388850474
Skin/Body,North America,Hair Dye,Aveda,Mascara,3389142.41,6.26,-1.77,13.58,3863622.347400001,0.049241359084849334,3863622.347400001,241862.75894724007,0.024835010156252283,3355250.9859,210038.71171734002,0.02213477706866803,4405885.133,275808.4093258,3329154.589343,208405.07729287184,3270228.5531116286,204716.30742478796,3212345.5077215526,201092.82878336922,3155486.992234881,197533.48571390356,3099634.8724723235,194037.14301676746
Skin/Body,North America,Hair Dye,Aveda,Toner,3228930.77,5.14,-2.97,10.29,3680981.0778000006,0.04691362010535551,3680981.0778000006,189202.42739892,0.019427729289504918,3196641.4623,164307.37116221996,0.017315412962106754,4197610.001,215757.1540514,3133031.5261310004,161037.8204431334,3039980.4898049096,156254.99717597233,2949693.069257704,151614.22375984598,2862087.1851007505,147111.28131417857,2777083.1957032583,142742.07625914746
Skin/Body,North America,Hair Dye,Aveda,Bronzer,522777.13,7.41,5.97,10.69,595965.9282000001,0.007595507436843576,595965.9282000001,44161.07527962,0.004534558184377725,517549.3587,38350.40747967,0.004041529835687877,470499.417,34864.0067997,553986.924661,41050.4311173801,587059.9440632618,43501.141855087706,622107.4227238386,46098.16002383644,659247.2358604517,48850.22017725947,698604.2958413208,51766.578321841866
Skin/Body,North America,Hair Dye,Aveda,Hair Dye,3433825.67,8.36,9.24,4.32,3914561.2638000003,0.049890568880297755,3914561.2638000003,327257.32165368,0.03360351524291502,3914561.2638000003,327257.32165368,0.034487775132814126,4463973.371,373188.1738156,3751111.1619080002,313592.8931355088,4097713.8332682997,342568.8764612298,4476342.59146229,374222.2406462474,4889956.646913406,408800.3756819607,5341788.641088205,446573.53039497393
Skin/Body,North America,Hair Dye,Aveda,Face Make-Up,1964298.64,16.2,7.99,12.89,2239300.4496,0.028539589955478197,2239300.4496,362766.6728352,0.037249695006486436,2239300.4496,362766.6728352,0.03822990231417742,1767868.7759999998,286394.741712,2121246.101336,343641.868416432,2290733.6648327466,371098.85370290495,2473763.284652883,400749.6521137671,2671416.971096649,432769.54931765713,2884863.1870872714,467347.836308138
Skin/Body,North America,Hair Dye,Aveda,Tools,3459258.02,13.52,-3.13,6.15,3943554.1428000005,0.05026007931309233,3943554.1428000005,533168.52010656,0.054746938592265294,3943554.1428000005,533168.52010656,0.056187577214205794,4497035.426,607999.1895951999,3350983.243974,453052.9345852848,3246097.468437614,438872.37773276534,3144494.6176755168,425135.67230972985,3046071.9361422732,411828.9257664353,2950729.88454102,398938.68038994586
Skin/Body,North America,Hair Dye,Elizabeth Arden,Lipstick,1693410.65,8.66,14.46,6.5,1930488.141,0.024603817664527735,1930488.141,167180.2730106,0.017166445120428735,1676476.5435,145182.86866709997,0.015299991158109283,2201433.8449999997,190644.17097699997,1938277.82999,167854.86007713398,2218552.804206554,192126.67284428756,2539355.539694822,219908.18973757158,2906546.3507346935,251706.91397362444,3326832.9530509305,288103.73373421055
Skin/Body,North America,Hair Dye,Elizabeth Arden,Mascara,4514209.5,14.47,10.9,8.04,5146198.830000001,0.06558762780751316,5146198.830000001,744654.9707010001,0.0764628413268752,5146198.830000001,744654.9707010001,0.07847492319284399,5868472.350000001,849167.949045,5006258.3355,724405.58114685,5551940.4940695,803365.7894918566,6157102.007923076,890932.660546469,6828226.12678669,988044.320546034,7572502.774606439,1095741.1514855516
Skin/Body,North America,Hair Dye,Elizabeth Arden,Toner,3096067.48,12.39,-1.1,11.11,3529516.9272000003,0.0449832294104173,3529516.9272000003,437307.14728008007,0.04490367798405713,3529516.9272000003,437307.14728008007,0.04608529606964176,4024887.724,498683.5890036,3062010.73772,379383.130403508,3028328.61960508,375209.91596906947,2995017.004789424,371082.6068934097,2962071.81773674,367000.69821758213,2929489.027741636,362963.6905371887
Skin/Body,North America,Hair Dye,Elizabeth Arden,Bronzer,1763475.63,5.36,7.91,3.48,2010362.2182,0.0256218022818967,2010362.2182,107755.41489552,0.011064567505017105,1745840.8736999999,93577.07083032,0.00986155163794547,2292518.319,122878.98189840002,1902966.5523329999,101999.0072050488,2053491.20662254,110067.12867496815,2215922.361066383,118773.43855315812,2391201.8198267333,128168.41754271291,2580345.8837750284,138306.53937034152
Skin/Body,North America,Hair Dye,Elizabeth Arden,Hair Dye,4732063.63,19.31,13.3,6.18,5394552.5382,0.06875286318145174,5394552.5382,1041688.09512642,0.10696286825933002,5394552.5382,1041688.09512642,0.10977754325468575,6151682.7190000005,1187889.9330389001,5361428.09279,1035291.764717749,6074498.02913107,1172985.5694252094,6882406.267005502,1328992.6501587625,7797766.300517234,1505748.672629878,8834869.218486026,1706013.2460896515
Skin/Body,North America,Hair Dye,Elizabeth Arden,Face Make-Up,569554.77,18.92,3.56,14.53,649292.4378000001,0.008275146793863635,649292.4378000001,122846.12923176002,0.012614115874666593,563859.2223,106682.16485916001,0.01124262245303731,512599.293,96983.78623560001,589830.919812,111596.0100284304,610828.9005573073,115568.82798544255,632574.4094171475,119683.07826172431,655094.0583923981,123943.79584784171,678415.4068711675,128356.1949800249
Skin/Body,North America,Hair Dye,Elizabeth Arden,Tools,4836289.9,17.8,0.89,6.39,5513370.486000001,0.07026718231186103,5513370.486000001,981379.9465080004,0.10077029239538751,5513370.486000001,981379.9465080004,0.10342201281851894,6287176.870000001,1119117.4828600003,4879332.88011,868521.2526595801,4922758.942742978,876251.0918082502,4966571.497333391,884049.7265253436,5010773.983659657,891917.769091419,5055369.872114227,899855.8372363325
Skin/Body,North America,Hair Dye,Kilian,Lipstick,4330115.02,9.75,-1.61,8.8,4936331.1228,0.06291289145873322,4936331.1228,481292.28447300004,0.04942017045137661,4936331.1228,481292.28447300004,0.05072063780326602,5629149.526,548842.078785,4260400.168178,415389.01639735495,4191807.7254703334,408701.2532333575,4124319.6210902613,402121.1630563005,4057918.075190708,395647.01233109407,3992585.5941801374,389277.0954325634
